Borough,Area_sq_mi,Accessible_Area_sq_mi,Accessibility_%,Number_of_Parks,Park_Density
Staten Island,58.239367637008826,46.931011505309016,80.5829688911083,153,2.627088964179867
Bronx,42.58499084906337,37.505339084118084,88.07173216744508,391,9.18163869955604
Brooklyn,69.38930238977413,63.97734230193491,92.20058438195686,614,8.84862621259736
Queens,109.09592801621883,93.76783992737366,85.94989898562812,466,4.271470149928252
Manhattan,22.8358707608204,22.45464675704146,98.33059134126383,391,17.122184833469998
